,classes,relations
001945,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 0 0 0 1]
001950,[ 0  0  0  0  0  0  0  5  0  0  0  0  0  0  0 25  0  0  0  0  0],[ 0  1  0  0 14]
001952,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001954,[ 0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 2 0 0 4]
001960,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
001963,[ 0  0  0  0  0 32  0  0  0  8  0 16  0  0  0 16  0  0  0  0  0],[ 0 14  0  1 21]
001971,[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
001977,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
001978,[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 0 0 0 0 0],[0 1 0 0 2]
001980,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 3 1 0 2]
001981,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001985,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001989,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 2 1 0 7]
001995,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
001999,[0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0],[0 0 0 1 2]
002001,[ 0 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  0  0  0 10]
002002,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6],[0 0 0 0 3]
002006,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002012,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
002015,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0],[0 5 0 0 5]
002020,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002025,[0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0],[0 3 0 0 0]
002027,[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002034,[0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002037,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002039,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002042,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
002043,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
002047,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],[1 0 0 0 0]
002049,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 1 0 0 0]
002051,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0]
002055,[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0],[0 2 1 0 0]
002056,[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002061,[0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 8 0 0 8 0 0],[0 5 0 0 5]
002068,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002069,[ 0  0 72  0  0  0  0  0  0  0  0  0  0  0  0 84  0  0  0  0  0],[ 0 23  0  0 55]
002095,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002096,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002104,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
002108,[ 0  0  0  0  0  0  0  0  0  0  0  7  0  0  0 28 21  0  0  0  0],[ 0  7  0  3 18]
002116,[ 0  0  0  0  0  0  0  5  0  0  0  0  5  0  0  5  5  0 10  0  0],[ 0  3  0  0 12]
002117,[ 0  0  0  0  0  0  0  0  0  0  0  0 10  0  0 15  0  0  0  0  5],[0 7 0 0 8]
002120,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 1 0 0]
002126,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002132,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
002134,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002139,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002151,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002153,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002155,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002156,[ 0  0  0  0  0  0  0  0  0 30  0  6  0  0  0  6  0  0  0  0  0],[ 0  5  0  0 16]
002158,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002166,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002170,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 2 0 0 4]
002172,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0],[0 1 0 0 2]
002176,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 0 3 0 0],[0 6 0 0 0]
002178,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002179,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
002180,[0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 3 0 0 0 3 0],[0 2 0 0 4]
002182,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002186,[0 0 0 0 0 0 0 0 0 8 0 4 0 0 0 8 0 0 0 0 0],[0 2 0 0 8]
002187,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002191,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002192,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0],[0 3 0 0 3]
002193,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 4 0 0 6]
002194,[ 0  0  0  0  0  0  0  0  0  4  0  0  0  0  0 16  0  0  0  0  0],[0 3 0 1 6]
002196,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002197,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002199,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002208,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002212,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002215,[ 0  0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 6]
002219,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002221,[ 0  0  0  0  0  5  0  0  0 10  0  5  0  0  0 10  0  0  0  0  0],[0 6 0 0 9]
002224,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 2 0 0 1]
002234,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002237,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002238,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002241,[ 0  0  0  0  0  0  0 24  0  0  0  0  0  0  0 48  0  0  0  0  0],[ 0  6  0  0 30]
002247,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002249,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
002253,[0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 2 0]
002255,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002256,[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 0 0 3]
002260,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002265,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002277,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002279,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002280,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],[1 0 0 0 0]
002284,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0  0],[ 0  3  0  0 12]
002287,[0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0],[0 0 3 0 0]
002291,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002293,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
002306,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 0 0 1]
002307,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0]
002310,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002311,[ 0  0  0  0  0  0  0 34  0  0  0  0  0  0  0 16  0  0  0  0  0],[  0  27   0   2 124]
002315,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002318,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002320,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
002321,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002323,[0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0],[0 1 0 1 1]
002334,[ 0  0  0  0  0  0  0  0  0  8  0  0  0  0  0  0  0  0  0  0 12],[0 1 0 0 9]
002335,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],[1 0 0 0 0]
002342,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002347,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0],[0 0 0 0 3]
002350,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002354,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002355,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002359,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002362,[ 0  0  0  0  0  0  0  0  0 16  0  0  0  0  0 16 32  0  8  0  0],[ 0  7  0  1 28]
002368,[0 0 0 0 0 0 0 0 0 8 0 4 0 0 0 0 0 0 8 0 0],[0 2 0 0 8]
002373,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002384,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002392,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002401,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002403,[0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 1 0 2]
002405,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002410,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002411,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002413,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002419,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
002420,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002423,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002433,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[0 3 1 1 5]
002436,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002439,[ 0  8  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 2 0 2 6]
002442,[ 0  0  0  0  0 20  0  0  0 80  0 10  0  0  0  0  0  0  0  0  0],[ 0 15  0  6 34]
002443,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 1 0 0 0]
002445,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002448,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002458,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
002461,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0],[0 1 0 0 0]
002465,[ 0  0  0  0 42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  0  0  6 15]
002466,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002468,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002471,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
002472,[ 0 10  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0  0],[ 0  2  0  0 13]
002478,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002480,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002481,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002483,[ 0  0  0  0  0  0  0  0 12  6  0  0  0  0  0  6 12  0  6  0  0],[ 0  9  0  1 11]
002490,[ 0  0  0  0  0  0  8 12  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 5 0 0 5]
002494,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002496,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002500,[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002501,[ 0  0  0  0  0  0  0  0  0  4  0  0  0  0  0 12  0  0  4  0  0],[0 6 0 0 4]
002502,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002512,[0 0 3 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0],[0 5 0 0 1]
002514,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2],[0 1 0 0 2]
002518,[ 0  0  0  0  0  8  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 2 0 0 8]
002519,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002533,[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 3 0 0 0]
002534,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002539,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 1 0]
002544,[ 0  0  0  0  0  0  0 20  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 4 0 0 6]
002545,[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 6 0 0],[0 3 1 0 2]
002547,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002554,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002555,[ 0  0  0  0  0  0  0  0  0  0  0  0  0 30  0 12  0  0  0  0  0],[ 0  7  1  0 13]
002558,[0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0],[0 2 0 0 4]
002559,[0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0],[0 1 0 0 2]
002564,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 2 0 0],[0 1 1 0 1]
002569,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],[0 1 0 0 0]
002571,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002572,"[  0   0   0   0   0  28   0   0   0  42   0   0   0   0   0 140   0   0
   0   0   0]",[ 0 25  2  0 78]
002579,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002590,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002594,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 20  0  0  0  0],[0 2 0 0 8]
002595,[ 0  0  0  0  0  0  0 16  0  0  0  0  0  0  0  0  0  0  0  0  0],[  0  21   0   1 114]
002599,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0],[0 1 0 0 0]
002603,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002609,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002611,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0],[0 0 0 1 0]
002625,[ 0  0  0  0  0  0  0 14  0  0  0  0  0  0  0 42  0  0  0  0  0],[ 0  5  0  0 23]
002627,[ 0  0  0  0  0  0  0  0  0 10  0  5  0  0  0  0  0  0 10  0  5],[ 0  3  1  0 11]
002634,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002635,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002645,[0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 3],[0 2 0 0 4]
002647,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002648,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0],[0 3 0 0 0]
002653,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002662,[ 0  0  0  0  0  0  0  0  0  0  0  6  0  0  0 36  0  0  0  0  0],[ 0 10  1  0 10]
002664,[ 0  0  0 42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  3  0  0 18]
002666,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0],[0 1 0 0 0]
002669,[0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 3 0 0 0 0 0],[0 1 0 0 5]
002680,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002682,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002683,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[1 0 0 0 0]
002684,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[1 0 0 0 0]
002691,[0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 3 0 0 3 0 0],[0 4 1 0 1]
002697,[0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0],[0 2 0 0 1]
002702,[0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0],[0 3 0 0 0]
002704,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002710,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002713,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0],[0 1 0 0 2]
002715,[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0],[0 2 0 0 4]
002722,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002730,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0],[0 1 0 2 0]
002735,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002737,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002738,[ 0  0  0  0 72  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 0  5  0  0 31]
002744,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 0 0 0 1]
002745,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0],[0 2 0 0 1]
002749,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002755,[0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 9 0 0 0 0 0],[0 5 0 0 1]
002757,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002759,[0 0 0 0 0 0 0 8 0 0 0 0 0 0 4 8 0 0 0 0 0],[0 5 0 1 4]
002763,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002765,[ 0 12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0],[0 2 0 0 4]
002766,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002774,[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0],[0 1 0 0 0]
002778,"[  0   0   0   0   0   0   0   0   0 196   0   0   0   0   0   0   0   0
   0   0  14]",[ 0  6  0  0 99]
002779,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1]
002782,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002783,[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002791,[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 0 0 0]
002795,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  4 16  0  0  0  0  0],[0 1 0 0 9]
002796,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002801,[0 0 0 0 0 0 0 0 0 9 0 3 0 0 0 0 0 0 0 0 0],[0 2 0 1 3]
002804,[ 0  0  0  0  0  0  0 40  0  0  0  0  0 20  0 50  0  0  0  0  0],[ 0  7  0  0 48]
002807,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0],[0 1 0 0 0]
002816,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0]
002817,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 0 0 0 0]
002820,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0],[0 0 0 0 3]
002826,[ 0  0  0  0  0  0  0  0  0  0  0  0 15  0  0 15  0  0  0  0  0],[0 6 0 0 9]
002834,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],[1 0 0 0 0]
002841,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 1 0 0 0]
002844,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[1 0 0 0 0]
002845,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0],[ 0  2  0  0 13]
002848,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[1 0 0 0 0]
002855,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0],[0 1 0 0 0]
002858,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],[0 1 0 0 0]
002864,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0],[0 2 1 0 3]
002866,[0 0 0 0 0 0 0 0 0 9 0 3 0 0 0 0 0 0 0 0 0],[0 4 1 0 1]
002867,[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0],[0 2 0 0 1]
002868,"[  0   0   0 117   0   0   0   0   0   0  65   0   0   0   0   0   0   0
   0   0   0]",[ 0  6  0  0 85]
